topic,class,count,avg_lat_ms,p95_lat_ms,p99_lat_ms,jitter_std_ms,ipdv_std_ms,deadline_missrate_1ms,deadline_missrate_2ms,loss_rate
/perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/cyclic_time_ms,Best-Effort,5940,4.839,7.863,8.781,2.842,1.856,,,0.0
/perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/pipeline_latency_ms,Best-Effort,5954,4.642,7.766,8.656,2.932,1.838,,,0.0
/perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/processing_time_ms,Best-Effort,5934,4.915,7.898,8.805,2.789,1.861,,,0.0
/perception/object_recognition/detection/centerpoint/objects/debug/published_time,Best-Effort,5944,4.732,7.902,8.812,2.974,1.806,,,0.0
/perception/object_recognition/detection/centerpoint/validation/objects/debug/published_time,Best-Effort,5952,4.62,7.842,8.743,3.007,1.886,,,0.0
/perception/object_recognition/detection/clustering/debug/clusters,Best-Effort,5946,4.913,8.494,9.48,3.282,1.835,,,0.0
/perception/object_recognition/detection/clustering/objects/debug/published_time,Best-Effort,5950,5.018,8.397,9.42,3.08,1.946,,,0.0
/perception/object_recognition/detection/clustering/objects_with_feature/debug/published_time,Best-Effort,5954,4.837,8.402,9.374,3.236,1.855,,,0.0
/perception/object_recognition/detection/clustering/shape_estimation/debug/cyclic_time_ms,Best-Effort,5944,5.036,8.494,9.488,3.14,1.91,,,0.0
/perception/object_recognition/detection/clustering/shape_estimation/debug/processing_time_ms,Best-Effort,5936,5.206,8.566,9.587,3.04,1.936,,,0.0
/perception/object_recognition/detection/clustering/voxel_grid_based_euclidean_cluster/debug/cyclic_time_ms,Best-Effort,5944,4.98,8.528,9.524,3.25,1.847,,,0.0
/perception/object_recognition/detection/clustering/voxel_grid_based_euclidean_cluster/debug/pipeline_latency_ms,Best-Effort,5936,5.098,8.572,9.585,3.177,1.885,,,0.0
/perception/object_recognition/detection/clustering/voxel_grid_based_euclidean_cluster/debug/processing_time_ms,Best-Effort,5950,4.861,8.455,9.438,3.292,1.818,,,0.0
/perception/object_recognition/detection/detection_by_tracker/debug/divided_objects,Best-Effort,5936,5.175,8.549,9.551,3.046,1.923,,,0.0
/perception/object_recognition/detection/detection_by_tracker/debug/initial_objects,Best-Effort,5952,4.859,8.417,9.398,3.231,1.859,,,0.0
/perception/object_recognition/detection/detection_by_tracker/debug/merged_objects,Best-Effort,5942,5.122,8.527,9.543,3.095,1.918,,,0.0
/perception/object_recognition/detection/detection_by_tracker/debug/tracked_objects,Best-Effort,5942,5.068,8.505,9.507,3.124,1.913,,,0.0
/perception/object_recognition/detection/detection_by_tracker/detection_by_tracker/debug/cyclic_time_ms,Best-Effort,5948,5.073,8.433,9.443,3.04,1.952,,,0.0
/perception/object_recognition/detection/detection_by_tracker/detection_by_tracker/debug/processing_time_ms,Best-Effort,5930,5.236,8.519,9.485,2.946,1.965,,,0.0
/perception/object_recognition/detection/detection_by_tracker/objects/debug/published_time,Best-Effort,5948,5.122,8.469,9.464,3.029,1.949,,,0.0
/perception/object_recognition/detection/object_association_merger/debug/cyclic_time_ms,Best-Effort,11901,4.746,7.779,8.659,2.719,1.432,,,0.0
/perception/object_recognition/detection/object_association_merger/debug/processing_time_ms,Best-Effort,11853,4.887,7.854,8.739,2.629,1.399,,,0.0
/perception/object_recognition/detection/object_lanelet_filter/debug/pipeline_latency_ms,Best-Effort,5942,4.774,7.728,8.637,2.698,1.988,,,0.0
/perception/object_recognition/detection/object_lanelet_filter/debug/processing_time_ms,Best-Effort,5942,4.814,7.755,8.597,2.684,1.992,,,0.0
/perception/object_recognition/detection/objects/debug/published_time,Best-Effort,5936,4.856,7.785,8.685,2.662,1.98,,,0.0
/perception/object_recognition/detection/objects_before_filter/debug/published_time,Best-Effort,5948,4.731,7.74,8.612,2.783,1.978,,,0.0
/perception/object_recognition/detection/obstacle_pointcloud_based_validator/debug/pipeline_latency_ms,Best-Effort,5936,4.797,7.914,8.796,2.915,1.922,,,0.0
/perception/object_recognition/detection/pointcloud_map_filtered/pointcloud/debug/published_time,Best-Effort,5936,5.272,8.949,9.837,3.457,1.788,,,0.0
/perception/object_recognition/detection/temporary_merged_objects/debug/published_time,Best-Effort,5942,4.77,7.822,8.692,2.834,1.95,,,0.0
/perception/object_recognition/detection/voxel_based_compare_map_filter/debug/cyclic_time_ms,Best-Effort,5952,5.426,9.144,10.03,3.503,1.78,,,0.0
