topic,class,count,avg_lat_ms,p95_lat_ms,p99_lat_ms,jitter_std_ms,ipdv_std_ms,deadline_missrate_1ms,deadline_missrate_2ms,loss_rate
/control/vehicle_cmd_gate/is_filter_activated/marker_raw,Best-Effort,2877,1361.283,1663.497,1696.612,228.198,250.986,,,0.753513
/localization/debug/ellipse_marker,Best-Effort,11722,321.905,398.791,402.817,44.488,59.528,,,0.0
/localization/pose_estimator/exe_time_ms,Best-Effort,5852,345.667,399.759,402.695,37.731,54.321,,,0.0
/localization/pose_twist_fusion_filter/debug/processing_time_ms,Best-Effort,11709,322.115,398.963,402.978,44.486,59.771,,,0.0
/localization/pose_twist_fusion_filter/debug/stop_flag,Best-Effort,11704,315.985,397.039,402.424,44.831,58.136,,,0.0
/localization/pose_twist_fusion_filter/pose_instability_detector/debug/diff_pose,Best-Effort,1168,303.034,358.023,367.722,40.345,56.184,,,0.0
/localization/util/crop_box_filter_measurement_range/debug/cyclic_time_ms,Best-Effort,5857,284.681,366.93,397.396,49.311,58.149,,,0.0
/localization/util/crop_box_filter_measurement_range/debug/pipeline_latency_ms,Best-Effort,5855,286.477,367.48,398.459,49.677,58.462,,,0.0
/localization/util/crop_box_filter_measurement_range/debug/processing_time_ms,Best-Effort,5856,285.327,367.051,397.746,49.422,58.04,,,0.0
/localization/util/downsample/pointcloud/debug/published_time,Best-Effort,5851,339.705,400.831,403.613,42.861,62.087,,,0.0
/localization/util/measurement_range/pointcloud/debug/published_time,Best-Effort,5850,293.419,370.964,400.569,49.833,59.059,,,0.0
/localization/util/voxel_grid_downsample/pointcloud/debug/published_time,Best-Effort,5851,323.469,399.811,403.087,50.038,69.86,,,0.0
/perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/cyclic_time_ms,Best-Effort,5851,340.923,395.169,397.608,37.8,54.525,,,0.0
/perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/pipeline_latency_ms,Best-Effort,5858,340.699,394.996,397.521,37.893,54.508,,,0.0
/perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/processing_time_ms,Best-Effort,5848,340.97,395.243,397.642,37.808,54.536,,,0.0
/perception/object_recognition/detection/centerpoint/objects/debug/published_time,Best-Effort,5853,340.901,395.14,397.644,37.811,54.507,,,0.0
/perception/object_recognition/detection/centerpoint/validation/objects/debug/published_time,Best-Effort,5857,340.739,394.986,397.58,37.884,54.498,,,0.0
/perception/object_recognition/detection/clustering/debug/clusters,Best-Effort,5854,341.284,395.481,397.927,37.792,54.449,,,0.0
/perception/object_recognition/detection/clustering/objects/debug/published_time,Best-Effort,5856,341.157,395.392,397.742,37.865,54.493,,,0.0
/perception/object_recognition/detection/clustering/objects_with_feature/debug/published_time,Best-Effort,5858,341.103,395.352,397.727,37.849,54.449,,,0.0
/perception/object_recognition/detection/clustering/shape_estimation/debug/cyclic_time_ms,Best-Effort,5853,341.289,395.463,397.866,37.783,54.477,,,0.0
/perception/object_recognition/detection/clustering/shape_estimation/debug/processing_time_ms,Best-Effort,5849,341.419,395.593,397.972,37.776,54.507,,,0.0
/perception/object_recognition/detection/clustering/voxel_grid_based_euclidean_cluster/debug/cyclic_time_ms,Best-Effort,5853,341.342,395.518,397.971,37.781,54.461,,,0.0
/perception/object_recognition/detection/clustering/voxel_grid_based_euclidean_cluster/debug/pipeline_latency_ms,Best-Effort,5849,341.428,395.613,398.041,37.766,54.478,,,0.0
/perception/object_recognition/detection/clustering/voxel_grid_based_euclidean_cluster/debug/processing_time_ms,Best-Effort,5856,341.2,395.428,397.878,37.844,54.445,,,0.0
/perception/object_recognition/detection/detection_by_tracker/debug/divided_objects,Best-Effort,5849,341.393,395.549,397.945,37.773,54.504,,,0.0
/perception/object_recognition/detection/detection_by_tracker/debug/initial_objects,Best-Effort,5857,341.135,395.355,397.757,37.846,54.455,,,0.0
/perception/object_recognition/detection/detection_by_tracker/debug/merged_objects,Best-Effort,5852,341.351,395.507,397.915,37.773,54.489,,,0.0
/perception/object_recognition/detection/detection_by_tracker/debug/tracked_objects,Best-Effort,5852,341.324,395.477,397.871,37.771,54.483,,,0.0
/perception/object_recognition/detection/detection_by_tracker/detection_by_tracker/debug/cyclic_time_ms,Best-Effort,5855,341.207,395.406,397.815,37.838,54.501,,,0.0
/perception/object_recognition/detection/detection_by_tracker/detection_by_tracker/debug/processing_time_ms,Best-Effort,5846,341.394,395.568,397.894,37.781,54.527,,,0.0
/perception/object_recognition/detection/detection_by_tracker/objects/debug/published_time,Best-Effort,5855,341.25,395.441,397.851,37.841,54.503,,,0.0
/perception/object_recognition/detection/object_association_merger/debug/cyclic_time_ms,Best-Effort,11715,340.737,395.032,397.482,37.831,38.556,,,0.0
/perception/object_recognition/detection/object_association_merger/debug/processing_time_ms,Best-Effort,11691,340.894,395.104,397.578,37.774,38.573,,,0.0
/perception/object_recognition/detection/object_lanelet_filter/debug/pipeline_latency_ms,Best-Effort,5852,340.671,394.922,397.379,37.826,54.547,,,0.0
/perception/object_recognition/detection/object_lanelet_filter/debug/processing_time_ms,Best-Effort,5852,340.698,394.946,397.433,37.827,54.548,,,0.0
/perception/object_recognition/detection/objects/debug/published_time,Best-Effort,5849,340.751,394.971,397.406,37.819,54.556,,,0.0
/perception/object_recognition/detection/objects_before_filter/debug/published_time,Best-Effort,5855,340.658,394.956,397.404,37.877,54.535,,,0.0
/perception/object_recognition/detection/obstacle_pointcloud_based_validator/debug/pipeline_latency_ms,Best-Effort,5849,340.941,395.198,397.674,37.81,54.532,,,0.0
/perception/object_recognition/detection/pointcloud_map_filtered/pointcloud/debug/published_time,Best-Effort,5849,341.866,396.031,398.497,37.759,54.449,,,0.0
/perception/object_recognition/detection/temporary_merged_objects/debug/published_time,Best-Effort,5852,340.798,395.07,397.511,37.825,54.537,,,0.0
/perception/object_recognition/detection/voxel_based_compare_map_filter/debug/cyclic_time_ms,Best-Effort,5857,341.99,396.194,398.72,37.829,54.409,,,0.0
/perception/object_recognition/detection/voxel_based_compare_map_filter/debug/processing_time_ms,Best-Effort,5841,342.066,396.173,398.63,37.74,54.444,,,0.0
/perception/object_recognition/objects/debug/published_time,Best-Effort,5853,302.366,356.057,358.58,37.598,54.566,,,0.0
/perception/object_recognition/prediction/map_based_prediction/debug/cyclic_time_ms,Best-Effort,5853,302.362,356.05,358.584,37.6,54.569,,,0.0
/perception/object_recognition/prediction/map_based_prediction/debug/processing_time_detail_ms,Best-Effort,5853,302.245,355.962,358.474,37.596,54.564,,,0.0
/perception/object_recognition/prediction/map_based_prediction/debug/processing_time_ms,Best-Effort,5856,302.177,355.97,358.448,37.705,54.559,,,0.0
/perception/object_recognition/tracking/multi_object_tracker/debug/cyclic_time_ms,Best-Effort,5866,302.533,356.406,358.895,37.779,54.538,,,0.0
/perception/object_recognition/tracking/multi_object_tracker/debug/input_latency_ms,Best-Effort,5866,340.423,394.882,397.329,38.024,54.499,,,0.0
/perception/object_recognition/tracking/multi_object_tracker/debug/meas_to_tracked_object_ms,Best-Effort,5867,302.378,356.291,358.766,37.797,54.55,,,0.0
/perception/object_recognition/tracking/multi_object_tracker/debug/objects_markers,Best-Effort,5866,302.406,356.307,358.74,37.781,54.541,,,0.0
